BAÞ;ÝÞARET;ORTA;YÜZÜK;SERÇE;X;Y
2388;1958;1538;2638;1888;3114;2832
2294;1937;1531;2614;1691;3106;2825
2526;1979;1539;2633;1874;3135;2762
2537;1922;1590;2689;1738;3103;2837
2672;2100;1582;4095;1796;2972;2816
2663;2280;1683;2916;1883;3109;2823
2720;2311;1767;2848;1888;3111;2839
2712;1731;1579;2696;1716;3123;2823
2567;1265;1205;2148;1365;3110;2790
2434;882;1121;1728;1214;3024;2841
2155;503;873;1150;628;3111;2815
2284;460;764;1069;566;3119;2822
2230;505;851;1124;583;3120;2829
1882;834;972;1054;702;2832;2818
1909;1258;1155;2546;997;3104;2874
2181;1617;1339;2454;1402;3106;2820
2231;1871;1474;3271;1347;3107;2800
2184;1783;1975;2682;1348;3135;2832
2179;1597;1492;2737;1327;3099;2816
2304;1960;1533;2833;1457;3105;2870
2354;2119;1584;2911;1640;3111;2830
2360;1297;1392;2416;1448;3099;2832
2597;541;947;1266;689;3108;2815
2413;363;804;1116;463;3131;2820
2553;388;805;1022;461;3092;2831
2665;431;913;1240;631;3107;2799
2628;1322;1196;2273;1109;3110;2821
2624;2299;1623;3068;1715;3006;2791
2319;2232;1658;2257;1728;3110;2814
2139;1307;1254;2072;1037;3111;2876
1624;593;636;410;406;3115;2820
1014;440;847;1032;351;3100;2859
1074;460;855;1061;371;3113;2835
1167;569;911;728;543;3108;2817
971;1031;1005;1457;757;3105;2855
1803;1647;1196;2079;997;3115;2814
3312;2116;1456;2698;1395;3112;2727
4095;2226;1510;2816;1455;3101;2822
4095;2182;1507;2733;1353;3111;2823
4095;2258;1520;2810;1373;3109;2834
4095;2291;1539;2698;1453;3100;2917
4095;2337;1579;2768;1410;3093;2790
4095;2368;1622;2705;1363;3109;2818
4095;2415;1599;2710;1378;3118;2826
2346;2354;1566;2761;1402;3091;2822
2209;2299;1546;2700;1373;3105;2818
1965;2330;1527;2683;1383;3136;2823
2214;2293;1550;2691;1398;2967;2818
2494;2247;1541;2696;1392;3107;2821
2655;2169;1518;2683;1422;3101;2819
2494;2122;1521;2679;1402;3106;2810
2793;2121;1523;2675;1425;3103;2817
2559;2116;1528;2688;1423;3105;2622
1717;2168;1554;2686;1427;3126;2824
2833;2179;1556;2683;1169;3087;2816
2247;2219;1546;2700;1458;3097;2807
3663;2494;1683;3317;1618;3056;2816
2451;2165;1057;2969;1666;3136;2825
2108;1584;1380;2508;1415;3122;3331
1127;1370;1271;2339;1160;3088;2821
631;1180;1447;2414;1045;3152;2855
1380;750;1034;1617;852;3088;2798
1334;519;918;1217;676;3095;2819
1429;699;852;1208;608;3105;2822
1283;777;1006;687;696;3095;2817
1619;1442;1210;2289;1074;3095;2842
2068;1997;1412;2725;1373;3111;2819
3307;2069;1474;2820;1470;3102;2816
1992;1743;787;2608;1292;3119;2817
1319;1171;980;2409;1282;3123;2814
914;933;1138;2183;1092;3098;2825
761;891;1125;2128;1042;3104;2826
860;993;1139;2103;994;3116;2839
